State,ZIP Code,City,County,Type
Virginia,ZIP Code 20101,Dulles,Loudoun,Unique
Virginia,ZIP Code 20102,Dulles,Loudoun,Unique
Virginia,ZIP Code 20103,Dulles,Loudoun,Unique
Virginia,ZIP Code 20104,Dulles,Loudoun,Unique
Virginia,ZIP Code 20105,Aldie,Loudoun,Standard
Virginia,ZIP Code 20106,Amissville,Culpeper,Standard
Virginia,ZIP Code 20108,Manassas,Manassas City,P.O. Box
Virginia,ZIP Code 20109,Manassas,Prince William,Standard
Virginia,ZIP Code 20110,Manassas,Manassas City,Standard
Virginia,ZIP Code 20111,Manassas,Prince William,Standard
Virginia,ZIP Code 20112,Manassas,Prince William,Standard
Virginia,ZIP Code 20113,Manassas,Manassas Park City,P.O. Box
Virginia,ZIP Code 20115,Marshall,Fauquier,Standard
Virginia,ZIP Code 20116,Marshall,Fauquier,P.O. Box
Virginia,ZIP Code 20117,Middleburg,Loudoun,Standard
Virginia,ZIP Code 20118,Middleburg,Loudoun,P.O. Box
Virginia,ZIP Code 20119,Catlett,Fauquier,Standard
Virginia,ZIP Code 20120,Centreville,Fairfax,Standard
Virginia,ZIP Code 20121,Centreville,Fairfax,Standard
Virginia,ZIP Code 20122,Centreville,Fairfax,P.O. Box
Virginia,ZIP Code 20124,Clifton,Fairfax,Standard
Virginia,ZIP Code 20128,Orlean,Fauquier,P.O. Box
Virginia,ZIP Code 20129,Paeonian Springs,Loudoun,Standard
Virginia,ZIP Code 20130,Paris,Clarke,Standard
Virginia,ZIP Code 20131,Philomont,Loudoun,P.O. Box
Virginia,ZIP Code 20132,Purcellville,Loudoun,Standard
Virginia,ZIP Code 20134,Purcellville,Loudoun,P.O. Box
Virginia,ZIP Code 20135,Bluemont,Clarke,Standard
Virginia,ZIP Code 20136,Bristow,Prince William,Standard
Virginia,ZIP Code 20137,Broad Run,Fauquier,Standard
Virginia,ZIP Code 20138,Calverton,Fauquier,P.O. Box
Virginia,ZIP Code 20139,Casanova,Fauquier,P.O. Box
Virginia,ZIP Code 20140,Rectortown,Fauquier,P.O. Box
Virginia,ZIP Code 20141,Round Hill,Loudoun,Standard
Virginia,ZIP Code 20142,Round Hill,Loudoun,P.O. Box
Virginia,ZIP Code 20143,Catharpin,Prince William,Standard
Virginia,ZIP Code 20144,Delaplane,Fauquier,Standard
Virginia,ZIP Code 20146,Ashburn,Loudoun,P.O. Box
Virginia,ZIP Code 20147,Ashburn,Loudoun,Standard
Virginia,ZIP Code 20148,Ashburn,Loudoun,Standard
Virginia,ZIP Code 20149,Ashburn,Loudoun,Unique
Virginia,ZIP Code 20151,Chantilly,Fairfax,Standard
Virginia,ZIP Code 20152,Chantilly,Loudoun,Standard
Virginia,ZIP Code 20153,Chantilly,Fairfax,P.O. Box
Virginia,ZIP Code 20155,Gainesville,Prince William,Standard
Virginia,ZIP Code 20156,Gainesville,Prince William,P.O. Box
Virginia,ZIP Code 20158,Hamilton,Loudoun,Standard
Virginia,ZIP Code 20159,Hamilton,Loudoun,P.O. Box
Virginia,ZIP Code 20160,Lincoln,Loudoun,P.O. Box
Virginia,ZIP Code 20163,Sterling,Loudoun,P.O. Box
Virginia,ZIP Code 20164,Sterling,Loudoun,Standard
Virginia,ZIP Code 20165,Sterling,Loudoun,Standard
Virginia,ZIP Code 20166,Sterling,Loudoun,Standard
Virginia,ZIP Code 20167,Sterling,Loudoun,P.O. Box
Virginia,ZIP Code 20168,Haymarket,Prince William,P.O. Box
Virginia,ZIP Code 20169,Haymarket,Prince William,Standard
Virginia,ZIP Code 20170,Herndon,Fairfax,Standard
Virginia,ZIP Code 20171,Herndon,Fairfax,Standard
Virginia,ZIP Code 20172,Herndon,Fairfax,P.O. Box
Virginia,ZIP Code 20175,Leesburg,Loudoun,Standard
Virginia,ZIP Code 20176,Leesburg,Loudoun,Standard
Virginia,ZIP Code 20177,Leesburg,Loudoun,P.O. Box
Virginia,ZIP Code 20178,Leesburg,Loudoun,P.O. Box
Virginia,ZIP Code 20180,Lovettsville,Loudoun,Standard
Virginia,ZIP Code 20181,Nokesville,Prince William,Standard
Virginia,ZIP Code 20182,Nokesville,Prince William,P.O. Box
Virginia,ZIP Code 20184,Upperville,Fauquier,Standard
Virginia,ZIP Code 20185,Upperville,Fauquier,P.O. Box
Virginia,ZIP Code 20186,Warrenton,Fauquier,Standard
Virginia,ZIP Code 20187,Warrenton,Fauquier,Standard
Virginia,ZIP Code 20188,Warrenton,Fauquier,P.O. Box
Virginia,ZIP Code 20189,Dulles,Loudoun,Standard
Virginia,ZIP Code 20190,Reston,Fairfax,Standard
Virginia,ZIP Code 20191,Reston,Fairfax,Standard
Virginia,ZIP Code 20192,Herndon,Fairfax,Unique
Virginia,ZIP Code 20194,Reston,Fairfax,Standard
Virginia,ZIP Code 20195,Reston,Fairfax,P.O. Box
Virginia,ZIP Code 20196,Reston,Fairfax,Unique
Virginia,ZIP Code 20197,Waterford,Loudoun,Standard
Virginia,ZIP Code 20198,The Plains,Fauquier,Standard
Virginia,ZIP Code 20598,Dhs,Loudoun,Unique
Virginia,ZIP Code 22003,Annandale,Fairfax,Standard
Virginia,ZIP Code 22009,Burke,Fairfax,P.O. Box
Virginia,ZIP Code 22015,Burke,Fairfax,Standard
Virginia,ZIP Code 22025,Dumfries,Prince William,Standard
Virginia,ZIP Code 22026,Dumfries,Prince William,Standard
Virginia,ZIP Code 22027,Dunn Loring,Fairfax,Standard
Virginia,ZIP Code 22030,Fairfax,Fairfax City,Standard
Virginia,ZIP Code 22031,Fairfax,Fairfax,Standard
Virginia,ZIP Code 22032,Fairfax,Fairfax,Standard
Virginia,ZIP Code 22033,Fairfax,Fairfax,Standard
Virginia,ZIP Code 22034,Fairfax,Fairfax,Standard
Virginia,ZIP Code 22035,Fairfax,Fairfax,Standard
Virginia,ZIP Code 22036,Fairfax,Fairfax,Standard
Virginia,ZIP Code 22037,Fairfax,Fairfax,Unique
Virginia,ZIP Code 22038,Fairfax,Fairfax City,P.O. Box
Virginia,ZIP Code 22039,Fairfax Station,Fairfax,Standard
Virginia,ZIP Code 22040,Falls Church,Falls Church City,P.O. Box
Virginia,ZIP Code 22041,Falls Church,Fairfax,Standard
Virginia,ZIP Code 22042,Falls Church,Fairfax,Standard
Virginia,ZIP Code 22043,Falls Church,Fairfax,Standard
Virginia,ZIP Code 22044,Falls Church,Fairfax,Standard
Virginia,ZIP Code 22046,Falls Church,Falls Church City,Standard
