State,ZIP Code,City,County,Type
Pennsylvania,ZIP Code 15001,Aliquippa,Beaver,Standard
Pennsylvania,ZIP Code 15003,Ambridge,Beaver,Standard
Pennsylvania,ZIP Code 15004,Atlasburg,Washington,P.O. Box
Pennsylvania,ZIP Code 15005,Baden,Beaver,Standard
Pennsylvania,ZIP Code 15006,Bairdford,Allegheny,P.O. Box
Pennsylvania,ZIP Code 15007,Bakerstown,Allegheny,Standard
Pennsylvania,ZIP Code 15009,Beaver,Beaver,Standard
Pennsylvania,ZIP Code 15010,Beaver Falls,Beaver,Standard
Pennsylvania,ZIP Code 15012,Belle Vernon,Fayette,Standard
Pennsylvania,ZIP Code 15014,Brackenridge,Allegheny,Standard
Pennsylvania,ZIP Code 15015,Bradfordwoods,Allegheny,Standard
Pennsylvania,ZIP Code 15017,Bridgeville,Allegheny,Standard
Pennsylvania,ZIP Code 15018,Buena Vista,Allegheny,Standard
Pennsylvania,ZIP Code 15019,Bulger,Washington,Standard
Pennsylvania,ZIP Code 15020,Bunola,Allegheny,P.O. Box
Pennsylvania,ZIP Code 15021,Burgettstown,Washington,Standard
Pennsylvania,ZIP Code 15022,Charleroi,Washington,Standard
Pennsylvania,ZIP Code 15024,Cheswick,Allegheny,Standard
Pennsylvania,ZIP Code 15025,Clairton,Allegheny,Standard
Pennsylvania,ZIP Code 15026,Clinton,Beaver,Standard
Pennsylvania,ZIP Code 15027,Conway,Beaver,Standard
Pennsylvania,ZIP Code 15028,Coulters,Allegheny,P.O. Box
Pennsylvania,ZIP Code 15030,Creighton,Allegheny,Standard
Pennsylvania,ZIP Code 15031,Cuddy,Allegheny,Standard
Pennsylvania,ZIP Code 15032,Curtisville,Allegheny,P.O. Box
Pennsylvania,ZIP Code 15033,Donora,Washington,Standard
Pennsylvania,ZIP Code 15034,Dravosburg,Allegheny,Standard
Pennsylvania,ZIP Code 15035,East Mc Keesport,Allegheny,Standard
Pennsylvania,ZIP Code 15037,Elizabeth,Allegheny,Standard
Pennsylvania,ZIP Code 15038,Elrama,Washington,P.O. Box
Pennsylvania,ZIP Code 15042,Freedom,Beaver,Standard
Pennsylvania,ZIP Code 15043,Georgetown,Beaver,Standard
Pennsylvania,ZIP Code 15044,Gibsonia,Allegheny,Standard
Pennsylvania,ZIP Code 15045,Glassport,Allegheny,Standard
Pennsylvania,ZIP Code 15046,Crescent,Allegheny,Standard
Pennsylvania,ZIP Code 15047,Greenock,Allegheny,P.O. Box
Pennsylvania,ZIP Code 15049,Harwick,Allegheny,Standard
Pennsylvania,ZIP Code 15050,Hookstown,Beaver,Standard
Pennsylvania,ZIP Code 15051,Indianola,Allegheny,Standard
Pennsylvania,ZIP Code 15052,Industry,Beaver,Standard
Pennsylvania,ZIP Code 15053,Joffre,Washington,Standard
Pennsylvania,ZIP Code 15054,Langeloth,Washington,P.O. Box
Pennsylvania,ZIP Code 15055,Lawrence,Washington,Standard
Pennsylvania,ZIP Code 15056,Leetsdale,Allegheny,Standard
Pennsylvania,ZIP Code 15057,Mc Donald,Washington,Standard
Pennsylvania,ZIP Code 15059,Midland,Beaver,Standard
Pennsylvania,ZIP Code 15060,Midway,Washington,P.O. Box
